title,date,name,topic,thumbnail,notes,collectionsURL,objectType
The Post Office at Coopers Ferry document,"{""Date"": ""March 31, 1808 - June 30, 1808""}",,,"https://ids.si.edu/ids/iiif/NPM-2024_2006_35_1_e/full/250,/0/default.jpg","{""Description"": ""Italy and the Old Italian States are one of the most important specialties in the field of philately, with deep roots in the classic period. International mail systems first emerged in Italy during the late Middle Ages as city-states including Florence, Venice, and Milan established organized postal services to facilitate the exchange of diplomatic and business letters and documents. Italy pioneered the use of postmarks, stamped paper, postal treaties, and the creation of an established itinerary of post offices and post roads. Later, Italy became one of the main theaters of the Napoleonic wars as French, Austrian, and Spanish armies fought for domination of the Italian peninsula. The Italian states began issuing postage stamps in 1850, just ten years after Great Britain and three years after the United States, making it one of the earliest stamp-issuing areas in the world. After unification, Italy became a founding member of the Universal Postal Union. Postal history and stamps from all of these eras are well-represented in the Geraci collection through high quality material.\nMr. Geraci also left substantial collections of archival documents and his research library of books, scholarly journals, and conference proceedings to the Smithsonian. These holdings together make the National Postal Museum an important center for study into philately of the Italian area.""}",https://collections.si.edu/search/detail/edanmdm:npm_2024.2006.35.1,"{""Type"": ""Covers & Associated Letters""}"
To Mr. Oliver Wheeler of the town of Montgomery Hampshire County folded letter,"{""Date"": ""November 20, 1810""}",,,"https://ids.si.edu/ids/iiif/NPM-2024_2006_30_4_c/full/250,/0/default.jpg","{""Description"": ""Italy and the Old Italian States are one of the most important specialties in the field of philately, with deep roots in the classic period. International mail systems first emerged in Italy during the late Middle Ages as city-states including Florence, Venice, and Milan established organized postal services to facilitate the exchange of diplomatic and business letters and documents. Italy pioneered the use of postmarks, stamped paper, postal treaties, and the creation of an established itinerary of post offices and post roads. Later, Italy became one of the main theaters of the Napoleonic wars as French, Austrian, and Spanish armies fought for domination of the Italian peninsula. The Italian states began issuing postage stamps in 1850, just ten years after Great Britain and three years after the United States, making it one of the earliest stamp-issuing areas in the world. After unification, Italy became a founding member of the Universal Postal Union. Postal history and stamps from all of these eras are well-represented in the Geraci collection through high quality material.\nMr. Geraci also left substantial collections of archival documents and his research library of books, scholarly journals, and conference proceedings to the Smithsonian. These holdings together make the National Postal Museum an important center for study into philately of the Italian area.""}",https://collections.si.edu/search/detail/edanmdm:npm_2024.2006.30.4,"{""Type"": ""Covers & Associated Letters""}"
Gazette of the United States newspaper,"{""Date"": ""April 18, 1792""}",,,"https://ids.si.edu/ids/iiif/NPM-2024_2006_30_1_c/full/250,/0/default.jpg","{""Description"": ""Italy and the Old Italian States are one of the most important specialties in the field of philately, with deep roots in the classic period. International mail systems first emerged in Italy during the late Middle Ages as city-states including Florence, Venice, and Milan established organized postal services to facilitate the exchange of diplomatic and business letters and documents. Italy pioneered the use of postmarks, stamped paper, postal treaties, and the creation of an established itinerary of post offices and post roads. Later, Italy became one of the main theaters of the Napoleonic wars as French, Austrian, and Spanish armies fought for domination of the Italian peninsula. The Italian states began issuing postage stamps in 1850, just ten years after Great Britain and three years after the United States, making it one of the earliest stamp-issuing areas in the world. After unification, Italy became a founding member of the Universal Postal Union. Postal history and stamps from all of these eras are well-represented in the Geraci collection through high quality material.\nMr. Geraci also left substantial collections of archival documents and his research library of books, scholarly journals, and conference proceedings to the Smithsonian. These holdings together make the National Postal Museum an important center for study into philately of the Italian area.""}",https://collections.si.edu/search/detail/edanmdm:npm_2024.2006.30.1,"{""Type"": ""Covers & Associated Letters""}"
Post Office Act of 1794 publication,"{""Date"": ""1794""}",,,"https://ids.si.edu/ids/iiif/NPM-2024_2006_0_1_03-04/full/250,/0/default.jpg","{""Description"": ""This is a bound copy of the 1794 postal act for the United States of America.\nThe printing of the \""An Act to Establish the Post-Office and Post-Roads within the United States\"" runs from page 1 to 19 with the approval date for the act: May 8, 1794; pages 21 to 34 are \""Regulations to be observed by the Deputy Postmasters in the Unites States\"" with the date of June 30, 1794 (the \""4\"" handwritten over the printing) and in the name of Postmaster General Timothy Pickering; and those are followed by three sections: sample postal forms; the listing of the \""Post-Roads in the United States\"" with mileage table; and a \""Memorandum.\""\nThe volume is stitched together and encased in a modern cover. It is part of the donation of Mr. Joseph Geraci, who bequeathed philatelic collections specializing in Italy and the Old Italian States along with substantial collections of archival documents and his research library of books, scholarly journals, and conference proceedings to the Smithsonian. These holdings together make the National Postal Museum an important center for study into philately of the Italian area.""}",https://collections.si.edu/search/detail/edanmdm:npm_2024.2006.0.1,"{""Type"": ""Archival Material""}"
Gazette of the United States newspaper,"{""Date"": ""January 18, 1792""}",,,"https://ids.si.edu/ids/iiif/NPM-2024_2004_6_a/full/250,/0/default.jpg","{""Description"": ""Gazette of the United States newspaper, No. 76, Vol. 3, January 18, 1792; marginalia; blue ink stamp \""... Public Library...\""; Topics in issue on page 1, column 1 has commercial news; and page 2, column 1 about postage rates.""}",https://collections.si.edu/search/detail/edanmdm:npm_2024.2004.6,"{""Type"": ""Covers & Associated Letters""}"
Albany manuscript postmarked folded letter,"{""Date"": ""February 7,1786""}",,,"https://ids.si.edu/ids/iiif/NPM-2023_2003_8_c/full/250,/0/default.jpg","{""Description"": ""Manuscript postmark on cover reads \""Albany\"" after the stage line had been contracted to Isaac Van Wyck and partners in 1785. The folded letter traveled at the rate of \""2,6\"" and \""1/4\"" for 2 grams, 6 pennyweight silver and conversion to 1 shilling, 4 pence. The cover is addressed to \""Gerard Bancher Esq.r / Treasurer of this State / New York\"" and the docketing under the fold reads, \""John & Abraham Ten Eyck's / Letter dated 7th Feb.y 1786.\"" The letter written on same side of sheet as cover and continues on the reverse of the paper signed \""John H Ten Eyck, Ah Ten Eyck,\"" who were civic officials in Albany writing about the recent laws on public debt.""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.8,"{""Type"": ""Covers & Associated Letters""}"
French consul at Boston folded letter,"{""Date"": ""February 3, 1786""}",,,"https://ids.si.edu/ids/iiif/NPM-2023_2003_7_d/full/250,/0/default.jpg","{""Description"": ""Stamped in red ink: \""PORTSMOUTH / FEBRUARY 3\""; handwritten \""Monsieur Toscan / Consul De France / a Boston\""""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.7,"{""Type"": ""Covers & Associated Letters""}"
French consul at Boston folded letter,"{""Date"": ""January 31, 1786""}",,,"https://ids.si.edu/ids/iiif/NPM-2023_2003_6_f/full/250,/0/default.jpg","{""Description"": ""Stamped in red: \""PORTSMOUTH / JANUARY 31\""; handwritten; \"" Monsiuer Toscan / Consul De France / A Boston\"".""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.6,"{""Type"": ""Covers & Associated Letters""}"
French consul at Boston folded letter,"{""Date"": ""October 17, 1785""}",,,"https://ids.si.edu/ids/iiif/NPM-2023_2003_5_f/full/250,/0/default.jpg","{""Description"": ""Stamped \""PORTSMOUTH / OCTOBER 17' / handwritten \""Monsiuer Toscan Consul / De France / a Boston\""""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.5,"{""Type"": ""Covers & Associated Letters""}"
Congress of the Confederation delegate folded letter,"{""Date"": ""July 25,1785""}",,,"https://ids.si.edu/ids/iiif/NPM-2023_2003_4_a/full/250,/0/default.jpg","{""Description"": ""The cover addressed to \""The Honorable / Samuel Holten Esq / delegate in Congress / New York / p[er] post\"" was sent without postage as the single sheet, folded letter was on government business. The top left has a two-line postmark, \""PORTSMOUTH / JULY\"", in red ink. On reverse is handwritten \""Copy of a letter to judge Sewall, 25th July, 1785.\"" The folded letter begins, \""New york, 25th July 1785. Dear Sir....\"" The valediction is unsigned and the name at the bottom left, typically indicating the recipient, reads \""Hon[ora]ble Mr. Sewall\"". It is undetermined who was the author and who was the copyist of this letter.\nHolton (1738-1816) was and doctor and among his public offices and service, he was a Massachusetts delegate to the Continental Congress, 1782-1787. Sewall (1757-1814) was a lawyer and among his public offices and service, he was member of the Massachusetts state house of representatives in 1784 and 1788-1796.""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.4,"{""Type"": ""Covers & Associated Letters""}"
Military express cover,"{""Date"": ""April 10,1781""}",,,"https://ids.si.edu/ids/iiif/NPM-2023_2003_3_b/full/250,/0/default.jpg","{""Description"": ""Handwritten on front: \""Public Service / dated 10th April\""; \""Mr. Richard Young ADQM\""; \""Fredericksburg\""; \""del'd 12th Apl 1 OClock pm\""; \""p[er] Express A Smead\""\nHandwritten on back below red, wax seal: \""Rec'd from Maj [Richard] Claiborne 13th April 81\"".""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.3,"{""Type"": ""Covers & Associated Letters""}"
Baltimore handstamped cover,"{""Date"": ""July 2, 1774""}",,,"https://ids.si.edu/ids/iiif/NPM-2023_2003_2_b/full/250,/0/default.jpg","{""Description"": ""Handwritten folded letter on a single sheet is addressed \""To / Mr. John Mitichell / Merchant in / Philadelphia\"" and marked \u201c2/16\u201d [dwt rate]; \u201c1/4\u201d [1sh 4d conversion rate]. On reverse partial stamp of \""BALT\"" in black ink is to the side of the broken red, wax seal. The letter on the interior letter was written on July 2, 1774 by the grocery and liqour business partnership of Harris & Donaldson of Balitimore and refers to orders for items such as sugar, whalebone, rum, and gunpowder.""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.2,"{""Type"": ""Covers & Associated Letters""}"
"Berwick, ME private subscription post office folded letter","{""Date"": ""May 3, 1792""}",,,"https://ids.si.edu/ids/iiif/NPM-2023_2003_19_c/full/250,/0/default.jpg","{""Description"": ""Stamped in ink: \""BOSTON MAY 3\""; handwritten: \""Berwick\"";""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.19,"{""Type"": ""Covers & Associated Letters""}"
Election tally folded letter sent from private subscription post office,"{""Date"": ""April 2, 1792""}",,"{""Topic"": ""Covers & Letters\nEarly Nation's Period (1776-1800)""}","https://ids.si.edu/ids/iiif/NPM-2023_2003_18_e/full/250,/0/default.jpg","{""Description"": ""Stampless cover addressed on front to \""John Avery / Esq / Secretary for the Commonwealth of Massachusetts / at Boston\"" and letter's contents summarized on interior fold: \""Votes from Parsonfield for Gove / nor Lieut Govenor & Senators / County of York.\"" The contents are about county's vote tally for the state election of 1792. Parsonfield, York County, was part of the state of Massachusetts, but is in present-day Maine.\nReferences:\n\""Early America Election Letter.\"" Voting by Mail: Civil War to Covid-19. National Postal Museum. https://postalmuseum.si.edu/exhibition/voting-by-mail-research-articles/early-america. Accessed September 23, 2024.""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.18,"{""Type"": ""Covers & Associated Letters""}"
French Guiana ship letter rate folded letter,"{""Date"": ""March 16, 1790""}",,,"https://ids.si.edu/ids/iiif/NPM-2023_2003_16_b/full/250,/0/default.jpg","{""Description"": ""Blue paper; stamped in faded black ink: \""BOSTON MAY\""; handwrtitten: \""Mr. Nicholas\"" \""48\"" / \""New York\""""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.16,"{""Type"": ""Covers & Associated Letters""}"
Vermont folded letter,"{""Date"": ""January 17, 1790""}",,,"https://ids.si.edu/ids/iiif/NPM-2023_2003_15_c/full/250,/0/default.jpg","{""Description"": ""The address handwritten on cover reads \""Miss Polly Williams, Troy\"" and a notation about carrier is in the bottom left. The folded letter was written in Shaftsbury, Vermont, on January 17, 1790, by Nathan Williams to his sister Polly in New York. From January 15, 1777, to March 4, 1791, the State of Vermont was independent and is sometimes referred to at the Vermon Republic.\nReference:\n\u201cVermont\u2019s Stampless Era,\u201d https://www.rfrajola.com/Marek/MarekVT.pdf, Modified March 10, 2018.""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.15,"{""Type"": ""Covers & Associated Letters""}"
Consul General of France at Hanover Square folded letter,"{""Date"": ""December 30, 1787""}",,,"https://ids.si.edu/ids/iiif/NPM-2023_2003_12_c/full/250,/0/default.jpg","{""Description"": ""Stamped in black ink: \""BOSTON\""; handwritten \""A Monsieur / Monsieur de Laforet / Vice Consul General / de France, hanover Square / A New York""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.12,"{""Type"": ""Covers & Associated Letters""}"
French consul at Boston folded letter,"{""Date"": ""May 27, 1787""}",,,"https://ids.si.edu/ids/iiif/NPM-2023_2003_11_c/full/250,/0/default.jpg","{""Description"": ""Stamped in black ink; \""N YORK MAY 27\""; handwritten: \""Philippe de l\u2019Etombe / Consul of France / Boston\""""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.11,"{""Type"": ""Covers & Associated Letters""}"
Allentown Stage folded letter,"{""Date"": ""October 8, 1773""}",,,"https://ids.si.edu/ids/iiif/NPM-2023_2003_1_c/full/250,/0/default.jpg","{""Description"": ""\""To / Mr, John Mittchell/ Philadelphia\"" folded letter; Allentown, NJ""}",https://collections.si.edu/search/detail/edanmdm:npm_2023.2003.1,"{""Type"": ""Covers & Associated Letters""}"
Alexander Hamilton free frank cover to Customs Collector Stephen Smith,"{""Date"": ""October 22, 1789""}","{""Associated Person"": ""Alexander Hamilton, American, 1757 - 1804""}","{""Topic"": ""Covers & Letters""}","https://ids.si.edu/ids/iiif/NPM-2017_2008_1_d/full/250,/0/default.jpg","{""Description"": ""As secretary of the treasury, Hamilton was permitted to send official correspondence for free by signing his name. This ensured that customs inspectors and collectors all over the country were kept busy responding to ceaseless requests for information about imports and exports, tonnage and construction of ships, trade routes, and ports of call. His ability to interpret and remember this data made Hamilton the best informed member of Washington\u2019s first Cabinet.""}",https://collections.si.edu/search/detail/edanmdm:npm_2017.2008.1,"{""Type"": ""Covers & Associated Letters""}"
"July 4, 1776 John Hancock cover","{""Date"": ""July 4, 1776""}","{""Associated Person"": ""John Hancock, American, 1737 - 1793""}","{""Topic"": ""Colonial Era (1607-1776)\nEarly Nation's Period (1776-1800)\nCovers & Letters""}","https://ids.si.edu/ids/iiif/NPM-2014_2002_1_f/full/250,/0/default.jpg","{""Description"": ""Letter written July 2 by William Bant and addressed to John Hancock who was a delegate to the Continental Congress in Philadelphia\nText of the letter:\nFairfield July 2, 1776\nDear sir,\nI wrote to you from Horseneck, where I was detained a day and a half, and at last was obliged to buy another horse. I informed you that I had the horse Harry bought for me taken from me at Rye, and indorsed to you the proceedings of the justice, you will doubtless observe sir that the authority is in the name of His Majesty. I was in the Town of Rye, and had I refused to take the justice under that sanction I might go without it, but the horse I should not have. I have now enclosed my deposition that the horse taken from me is the same that Harry purchased for me in Philadelphia. I beg you to excuse the trouble I give you sir in desiring you to give the deposition to M Wintton or to W Banell, which of them is kind enough to look into this matter for me. I shall make all possible despatch for Boston and shall immediately attend to your commands.\nWilliam Bant, Esq.""}",https://collections.si.edu/search/detail/edanmdm:npm_2014.2002.1,"{""Type"": ""Covers & Associated Letters""}"
The American Apollo magazine,"{""Date"": ""March 16, 1792""}",,,"https://ids.si.edu/ids/iiif/NPM-2012_2008_115_2_fc/full/250,/0/default.jpg","{""Description"": ""The American Apollo, Vol 1, No. 11, Friday, March 16, 1792, was printed in Boston, Massachusetts, as a weekly periodical. The issue includes the second installment (pages 119-123) of a two-part series (see 2012.2008.115.1) publication of the Post Office Act of 1792, which introduced new low postage rates for newspapers, but did not specify magazines such as this. Legislation for magazine rates came with the Post Office Act of 1794.\nThe American Apollo, started in January 1792 by Joseph Belknap and Alexander Young, included a variety of informative formats and publications of the Massachusetts Historical Society. The publishers changed to Belknap and Thomas Hall in May 1792. September of that year saw the last printing in the octavo format, which was replaced by a weekly newspaper issue the following month until ceasing publication in December 1794.\nReferences:\nBrigham, Clarence S. 1947. History and Bibliography of American Newspapers, 1690-1820 : Announcement. Worcester, Mass.: American Antiquarian Society.\nKielbowicz, Richard B. July 17, 1995. History of Mail Classification and Its Underlying Policies and Purposes, prepared for the Postal Rate Commission.\nMott, F. Luther. 1930. A History of American Magazines, 1741-1850. New York: D. Appleton.""}",https://collections.si.edu/search/detail/edanmdm:npm_2012.2008.115.2,"{""Type"": ""Archival Material""}"
The American Apollo magazine,"{""Date"": ""March 9, 1792""}",,,"https://ids.si.edu/ids/iiif/NPM-2012_2008_115_1_fc/full/250,/0/default.jpg","{""Description"": ""The American Apollo, Vol 1, No. 10, Friday, March 9, 1792, printed in Boston, Massachusetts, has a name handwritten at the top: \""Rev J French,\"" who was likely a subscriber to this weekly periodical. The issue includes the first installment (pages 105-108) of a two-part series (see 2012.2008.115.2) publication of the Post Office Act of 1792, which introduced new low postage rates for newspapers, but did not specify magazines such as this. Legislation for magazine rates came with the Post Office Act of 1794.\nThe American Apollo, started in January 1792 by Joseph Belknap and Alexander Young, included a variety of informative formats and publications of the Massachusetts Historical Society. The publishers changed to Belknap and Thomas Hall in May 1792. September of that year saw the last printing in the octavo format, which was replaced by a weekly newspaper issue the following month until ceasing publication in December 1794.\nReferences:\nBrigham, Clarence S. 1947. History and Bibliography of American Newspapers, 1690-1820 : Announcement. Worcester, Mass.: American Antiquarian Society.\nKielbowicz, Richard B. July 17, 1995. History of Mail Classification and Its Underlying Policies and Purposes, prepared for the Postal Rate Commission.\nMott, F. Luther. 1930. A History of American Magazines, 1741-1850. New York: D. Appleton.""}",https://collections.si.edu/search/detail/edanmdm:npm_2012.2008.115.1,"{""Type"": ""Covers & Associated Letters""}"
"Culpeper Courthouse, Virginia from Washington, Kentucky folded letter","{""Date"": ""December 31, 1803""}",,,"https://ids.si.edu/ids/iiif/NPM-2007_2004_22_g/full/250,/0/default.jpg","{""Description"": ""WAS*K* (Washington, Ky.) straight line postmark (scarce); manuscript \""Paid 50\""; to Culpeper Courthouse, Virginia. The rate is either for a double letter over 500 miles, or a quadruple letter from 90 to 150 miles, per the postal rate act of 1799; the actual distance is about 250 miles. This cover suggests that the complexity of the early tiered rate systems may have overwhelmed some postal clerks.""}",https://collections.si.edu/search/detail/edanmdm:npm_2007.2004.22,"{""Type"": ""Covers & Associated Letters""}"
Letter to Oliver Wolcott from Ezekiel Williams,"{""Date"": ""June 1, 1785""}",,"{""Topic"": ""Early Nation's Period (1776-1800)""}","https://ids.si.edu/ids/iiif/NPM-2005_2027_7_2_c-000001/full/250,/0/default.jpg","{""Description"": ""Ezekiel Williams, fearing his letter (2005.2027.7.2) would not be received and answered quickly, wrote detailed instructions on the letter's cover wrapper ((2005.2027.7.1) to the post rider asking him to deliver the letter personally. Williams was a Deputy Commissary of Prisoners during the war, and his letter is a frantic appeal to the Connecticut State Pay Table for help in paying wages owed.\nReference:\n\""Williams Letter, 1785,\"" Out of the Mails exhibition (December 14, 2006-January 31, 2008), National Postal Museum, https://postalmuseum.si.edu/exhibition/out-of-the-mails-to-pay-or-not-to-pay/williams-letter-1785.""}",https://collections.si.edu/search/detail/edanmdm:npm_2005.2027.7.2,"{""Type"": ""Covers & Associated Letters""}"
Cover for letter to Oliver Wolcott from Ezekiel Williams,"{""Date"": ""June 1, 1785""}",,"{""Topic"": ""Early Nation's Period (1776-1800)""}","https://ids.si.edu/ids/iiif/NPM-2005_2027_7_1_c-000001/full/250,/0/default.jpg","{""Description"": ""Ezekiel Williams, fearing his letter (2005.2027.7.2) would not be received and answered quickly, wrote detailed instructions on the letter's cover wrapper ((2005.2027.7.1) to the post rider asking him to deliver the letter personally. Williams was a Deputy Commissary of Prisoners during the war, and his letter is a frantic appeal to the Connecticut State Pay Table for help in paying wages owed.\nReference:\n\""Williams Letter, 1785,\"" Out of the Mails exhibition (December 14, 2006-January 31, 2008), National Postal Museum, https://postalmuseum.si.edu/exhibition/out-of-the-mails-to-pay-or-not-to-pay/williams-letter-1785.""}",https://collections.si.edu/search/detail/edanmdm:npm_2005.2027.7.1,"{""Type"": ""Covers & Associated Letters""}"
Letter to Postmaster Dudley Woodbridge from Surveyor General Ebenezer Hazard,"{""Date"": ""April 6, 1781""}","{""Writer"": ""Ebenezer Hazard, American, 1744 - 1817""}","{""Topic"": ""Early Nation's Period (1776-1800)""}","https://ids.si.edu/ids/iiif/NPM-2005_2027_5_c/full/250,/0/default.jpg","{""Description"": ""Folded letter dated April 6, 1781, has the free frank: \""Free Eben[ezer] Hazard.\"" In his role as Surveyor General of the Continental Post Office, Hazard was providing instructions to Dudley Woodbridge, newly appointed postmaster of Norwich, Connecticut.\nAt an unknown date prior to purchase to the museum's collection, the single sheet became separated and were rejoined through repair. The sheet is now in two parts through conservation treatment at the museum and consists of the body of the letter and the address panel with franking. Also at an unknown date, a corner of the sheet was cut out and other areas torn off, the latter have been filled-in through conservation treatments.\nReference:\n\""Hazard Letter, 1781,\"" Out of the Mails exhibition (December 14, 2006-January 31, 2008), National Postal Museum, https://postalmuseum.si.edu/exhibition/out-of-the-mails-to-pay-or-not-to-pay/hazard-letter-1781.""}",https://collections.si.edu/search/detail/edanmdm:npm_2005.2027.5,"{""Type"": ""Covers & Associated Letters""}"
Nathanael Greene free franked Valley Forge folded letter,"{""Date"": ""April 2, 1778""}","{""Writer"": ""Nathanael Greene, American, 1742 - 1786""}","{""Topic"": ""Early Nation's Period (1776-1800)\nNational Stamp Collection\nCovers & Letters""}","https://ids.si.edu/ids/iiif/NPM-2005_2027_4_g/full/250,/0/default.jpg","{""Description"": ""Nearing the end of the long winter encampment at Valley Forge, Pennsylvania, Quartermaster General Nathanael Greene wrote on April 2, 1778 to Joseph Webb, a Connecticut shopkeeper, requesting luggage and fabrics needed to move Washington's army to a new location.""}",https://collections.si.edu/search/detail/edanmdm:npm_2005.2027.4,"{""Type"": ""Covers & Associated Letters""}"
